Date,sales(million)
2013-01,28412300
2013-02,28383144
2013-03,34569409
2013-04,29565719
2013-05,29613179
2013-06,30051966
2013-07,30627468
2013-08,30335943
2013-09,31076639
2013-10,30417477
2013-11,30276260
2013-12,31962017
2014-01,29178351
2014-02,28920799
2014-03,36716092
2014-04,29681146
2014-05,30018898
2014-06,30995814
2014-07,31234015
2014-08,30585333
2014-09,31887751
2014-10,30729249
2014-11,30534680
2014-12,32594329
2015-01,29608913
2015-02,29744552
2015-03,37878554
2015-04,30457102
2015-05,30597683
2015-06,31744102
2015-07,31615791
2015-08,31397792
2015-09,32778936
2015-10,31571329
2015-11,31066586
2015-12,33556776
2016-01,29774255
2016-02,30298634
2016-03,37969430
2016-04,30516263
2016-05,30399401
2016-06,31937362
2016-07,31671938
2016-08,31542120
2016-09,32924347
2016-10,31551832
2016-11,31363533
2016-12,34019990
2017-01,30387827
2017-02,30516191
2017-03,38814895
2017-04,31434279
2017-05,31370045
2017-06,32509217
2017-07,32072776
2017-08,32135429
2017-09,33342159
2017-10,32013895
2017-11,32138734
2017-12,34524351
2018-01,30934953
2018-02,30922858
2018-03,39163806
2018-04,31908941
2018-05,31542615
2018-06,32929763
2018-07,32537613
2018-08,32519791
2018-09,33433127
2018-10,33008417
2018-11,32858947
2018-12,35026624
2019-01,31357527
2019-02,31567268
2019-03,39835305
2019-04,32377271
2019-05,31815913
2019-06,33025731
2019-07,32918349
2019-08,32644462
2019-09,34774133
2019-10,32291319
2019-11,32536155
2019-12,35262347
2020-01,31396490
2020-02,31395711
2020-03,36883857
2020-04,25794582
2020-05,24424528
2020-06,28742603
2020-07,28655158
2020-08,28402565
2020-09,30732638
2020-10,30346269
2020-11,30066887
2020-12,32613973
2021-01,27922859
2021-02,28070645
2021-03,36369758
2021-04,29110237
2021-05,27841529
2021-06,29650361
2021-07,29471633
2021-08,28511236
2021-09,30313428
2021-10,29796688
2021-11,30368101
2021-12,33288656
2022-01,29082549
2022-02,28558265
2022-03,36997262
2022-04,30543134
2022-05,30163669
2022-06,31874512
2022-07,31102450
2022-08,30541274
2022-09,32704328
2022-10,31772402
2022-11,31676682
2022-12,34586928
2023-01,30570499
2023-02,30630666
2023-03,39449934
2023-04,31841414
2023-05,31470410
2023-06,33105794
2023-07,32350787
2023-08,32213665
2023-09,34347723
2023-10,33243137
2023-11,32889042
2023-12,36082752
2024-01,31566986
2024-02,32294427
2024-03,39914480
2024-04,32965943
2024-05,32650084
2024-06,33875440
2024-07,33704521
2024-08,32982833
2024-09,35038216
2024-10,34060539
